"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN","date"
"California",245.47,14802,191.74,16434,189.02,963,2014-07-19
"Colorado",238.25,2773,196.75,2376,227.66,162,2014-07-19
"Connecticut",342.48,1583,273.04,1710,254.19,104,2014-07-19
"Delaware",367.47,437,230.07,367,204.86,39,2014-07-19
"District of Columbia",345.61,563,290.48,474,209.83,47,2014-07-19
"Florida",302.21,8324,217.78,6961,151.98,623,2014-07-19
"Georgia",327.11,3902,215.73,2946,145.62,278,2014-07-19
"Hawaii",311.57,399,265.51,453,174.23,29,2014-07-19
"Idaho",276.95,386,249.75,577,132.87,30,2014-07-19
"Illinois",355.81,4950,282.96,4652,192.2,406,2014-07-19
"Indiana",333.16,2092,210.68,1913,155.18,291,2014-07-19
"Iowa",367.47,854,289.54,859,249.3,112,2014-07-19
"Kansas",350.84,1023,262.48,843,122.23,129,2014-07-19
"Kentucky",338.31,1293,182.71,1284,123.92,163,2014-07-19
"Louisiana",366.53,1350,244.92,1156,143.52,282,2014-07-19
"Maine",318.2,542,245.93,560,272.95,59,2014-07-19
"Montana",267.03,673,243.93,328,588.04,29,2014-07-19
"Nebraska",341.38,626,250.33,620,133.37,73,2014-07-19
"Nevada",269.01,1099,228.88,1218,235.3,75,2014-07-19
"New Hampshire",358.44,520,290.37,569,617.09,46,2014-07-19
"New Jersey",349.86,2705,288.31,3565,226.46,232,2014-07-19
"New Mexico",290.67,688,201.74,564,96.32,57,2014-07-19
"New York",347.25,6964,265.83,7463,209.46,555,2014-07-19
"North Carolina",349.96,3558,245.2,2543,149.22,277,2014-07-19
"North Dakota",399.88,183,365.31,267,335.8,20,2014-07-19
"Ohio",334.89,3753,217.6,3689,166.03,492,2014-07-19
"Oklahoma",365.39,933,232.5,912,121.01,166,2014-07-19
"Oregon",209.01,1944,184.49,1692,175.2,81,2014-07-19
"Maryland",370.93,2490,252.32,2065,187.53,178,2014-07-19
"Massachusetts",350.25,3570,289.42,3161,222.86,263,2014-07-19
"Michigan",292.39,3615,275.86,3227,268.2,266,2014-07-19
"Minnesota",358.23,2101,276.92,2070,186.2,113,2014-07-19
"Mississippi",336.04,530,145.27,462,146.12,128,2014-07-19
"Missouri",355.55,1957,245.37,1774,146.1,268,2014-07-19
"Pennsylvania",366.54,4836,267.63,4205,192.5,449,2014-07-19
"Rhode Island",323.2,635,257.9,457,199.96,40,2014-07-19
"South Carolina",342.23,1458,201.53,1189,186.76,147,2014-07-19
"South Dakota",377.24,193,351.96,222,123.94,22,2014-07-19
"Tennessee",353.39,1967,225.01,1616,184.84,189,2014-07-19
"Texas",337.64,7367,232.61,7383,144.31,1046,2014-07-19
"Utah",288.35,849,239.47,903,204.58,56,2014-07-19
"Vermont",375.57,327,318.51,301,190.36,27,2014-07-19
"Virginia",368.01,3050,291.97,2595,222.65,251,2014-07-19
"Washington",232.66,2931,189.98,3048,138.47,136,2014-07-19
"West Virginia",353.85,482,214.91,465,148.86,53,2014-07-19
"Wisconsin",353.33,1970,271.54,1818,237.56,145,2014-07-19
"Wyoming",350.99,113,359.34,163,161.3,12,2014-07-19
"Alabama",340.64,1397,204.17,1267,144.98,161,2014-08-19
"Alaska",289.81,327,260.69,407,403.33,33,2014-08-19
"Arizona",300.45,2415,209.46,2144,186.34,282,2014-08-19
"Arkansas",346.66,760,180.3,728,126.1,135,2014-08-19
"California",245.18,15154,191.52,16943,187.86,991,2014-08-19
"Colorado",237.77,2847,197.2,2463,226.77,168,2014-08-19
"Connecticut",341.16,1633,272.05,1761,249.99,107,2014-08-19
"Delaware",365.6,447,230.27,380,204.86,39,2014-08-19
"District of Columbia",346.37,578,288.55,496,209.83,47,2014-08-19
"Florida",302.8,8514,217.76,7190,151.18,638,2014-08-19
"Georgia",326.63,4015,216.63,3046,145.43,282,2014-08-19
"Hawaii",310.27,416,266.68,464,174.23,29,2014-08-19
"Idaho",277.1,395,248.81,589,163.53,32,2014-08-19
"Illinois",355.74,5099,283.15,4835,193.39,412,2014-08-19
"Indiana",333.34,2144,211.59,1973,155.48,301,2014-08-19
"Iowa",366.41,878,289.98,899,249.3,112,2014-08-19
"Kansas",351.2,1059,261.93,883,121.73,130,2014-08-19
"Kentucky",338.19,1336,183.52,1319,123.31,167,2014-08-19
"Louisiana",366.36,1387,244.99,1200,144.08,293,2014-08-19
"Maine",317.25,559,254.56,577,272.95,59,2014-08-19
"Montana",266.83,686,248.58,337,571.68,30,2014-08-19
"Nebraska",341.57,641,250.66,641,133.37,73,2014-08-19
"Nevada",268.2,1123,229.21,1262,235.3,75,2014-08-19
"New Hampshire",356.61,539,291.12,586,617.09,46,2014-08-19
"New Jersey",348.56,2787,288.27,3697,225.38,236,2014-08-19
"New Mexico",288.89,710,201.07,573,94.88,58,2014-08-19
"New York",346.21,7152,265.3,7708,208.18,574,2014-08-19
"North Carolina",349.33,3652,245.95,2646,151.42,285,2014-08-19
"North Dakota",405.46,186,365.33,272,336.51,21,2014-08-19
"Ohio",334.53,3848,217.43,3800,165.3,503,2014-08-19
"Oklahoma",364.15,960,232.31,934,122.6,175,2014-08-19
"Oregon",208.75,1991,183.64,1753,178.05,82,2014-08-19
"Maryland",370.38,2565,252.5,2147,187.01,181,2014-08-19
"Massachusetts",350.25,3668,289.06,3290,221.46,268,2014-08-19
"Michigan",291.31,3691,274.53,3314,265.05,272,2014-08-19
"Minnesota",357.33,2153,276.1,2150,183.94,115,2014-08-19
"Mississippi",336.94,545,146.65,479,145.6,129,2014-08-19
"Missouri",357.61,2004,246.01,1840,146.1,273,2014-08-19
"Pennsylvania",366.19,4991,267.95,4354,192.86,469,2014-08-19
"Rhode Island",321.39,655,257.92,474,199.96,40,2014-08-19
"South Carolina",341.94,1508,201.98,1235,185.3,152,2014-08-19
"South Dakota",377.11,196,348.33,228,123.94,22,2014-08-19
"Tennessee",352.82,2022,225.99,1662,185.05,196,2014-08-19
"Texas",336.96,7522,233.52,7603,144.18,1064,2014-08-19
"Utah",287.36,869,238.61,928,207.35,57,2014-08-19
"Vermont",374.78,332,317.02,317,190.76,28,2014-08-19
"Virginia",366.81,3143,292.11,2693,224.37,256,2014-08-19
"Washington",232.68,3014,189.64,3144,136.53,143,2014-08-19
"West Virginia",354.79,495,213.89,476,145.37,55,2014-08-19
"Wisconsin",352.93,2019,271.46,1906,250.79,147,2014-08-19
"Wyoming",349.69,116,356.25,170,161.3,12,2014-08-19
"Alabama",340.44,1416,204.24,1295,NA,162,2014-09-19
"Alaska",291.41,331,262.35,421,NA,34,2014-09-19
"Arizona",300.3,2434,209.91,2181,NA,289,2014-09-19
"Arkansas",345.81,775,180.34,744,NA,136,2014-09-19
"California",245.05,15336,191.19,17233,NA,999,2014-09-19
"Colorado",238.36,2885,197.38,2505,NA,168,2014-09-19
"Connecticut",341.04,1654,270.92,1803,NA,111,2014-09-19
"Delaware",366.04,457,231.18,391,NA,39,2014-09-19
"District of Columbia",349.89,595,288.85,508,NA,48,2014-09-19
"Florida",302.25,8663,217.74,7370,NA,646,2014-09-19
"Georgia",326.59,4083,217.19,3116,NA,285,2014-09-19
"Hawaii",310.32,419,268.17,472,NA,29,2014-09-19
"Idaho",276.41,400,248.33,602,NA,33,2014-09-19
"Illinois",356.32,5192,283.23,4949,NA,417,2014-09-19
"Indiana",332.6,2198,212.36,2023,NA,306,2014-09-19
"Iowa",365.91,891,288.26,917,NA,113,2014-09-19
"Kansas",350.77,1081,261.78,898,NA,130,2014-09-19
"Kentucky",338.27,1356,174.58,1347,NA,168,2014-09-19
"Louisiana",365.72,1410,243.91,1223,NA,296,2014-09-19
"Maine",315.06,567,253.63,589,NA,59,2014-09-19
"Montana",266.44,693,251.08,342,NA,30,2014-09-19
"Nebraska",339.31,650,250.53,657,NA,74,2014-09-19
"Nevada",268.37,1138,229.94,1287,NA,76,2014-09-19
"New Hampshire",356.43,547,291.56,591,NA,46,2014-09-19
"New Jersey",348.57,2822,288.04,3767,NA,239,2014-09-19
"New Mexico",289.14,724,201.74,588,NA,59,2014-09-19
"New York",347.02,7250,264.85,7853,NA,578,2014-09-19
"North Carolina",347.88,3715,245.7,2709,NA,288,2014-09-19
"North Dakota",403.04,189,347.71,280,NA,21,2014-09-19
"Ohio",334.11,3909,217.71,3875,NA,512,2014-09-19
"Oklahoma",364.56,979,232.76,958,NA,176,2014-09-19
"Oregon",208.3,2023,182.44,1792,NA,85,2014-09-19
"Maryland",370.15,2606,252.97,2197,NA,185,2014-09-19
"Massachusetts",349.83,3724,288.58,3372,NA,272,2014-09-19
"Michigan",290.02,3749,274.2,3369,NA,276,2014-09-19
"Minnesota",354.62,2178,275.86,2191,NA,117,2014-09-19
"Mississippi",338.12,554,145.63,487,NA,132,2014-09-19
"Missouri",357.62,2037,245.63,1890,NA,276,2014-09-19
"Pennsylvania",365.46,5076,267.76,4432,NA,473,2014-09-19
"Rhode Island",320.27,664,258.98,482,NA,43,2014-09-19
"South Carolina",341.52,1534,203.57,1258,NA,155,2014-09-19
"South Dakota",377.57,201,349.65,230,NA,22,2014-09-19
"Tennessee",352.24,2049,225.69,1687,NA,200,2014-09-19
"Texas",336.82,7617,232.57,7737,NA,1078,2014-09-19
"Utah",287.65,880,238.44,949,NA,58,2014-09-19
"Vermont",374.25,335,315.69,327,NA,29,2014-09-19
"Virginia",366.75,3197,291.34,2759,NA,260,2014-09-19
"Washington",232.79,3065,189.54,3204,NA,144,2014-09-19
"West Virginia",355.46,503,216.12,491,NA,57,2014-09-19
"Wisconsin",352.11,2060,272.07,1956,NA,151,2014-09-19
"Wyoming",328.51,119,356.25,170,NA,12,2014-09-19
"Alabama",338.97,1437,204.29,1328,NA,166,2014-10-19
"Alaska",291.95,334,261.23,432,NA,36,2014-10-19
"Arizona",300.22,2468,210.57,2220,NA,293,2014-10-19
"Arkansas",344.99,787,180.62,754,NA,139,2014-10-19
"California",244.94,15557,190.86,17552,NA,1007,2014-10-19
"Colorado",237.42,2931,196.78,2568,NA,170,2014-10-19
"Connecticut",340.77,1694,271.04,1850,NA,115,2014-10-19
"Delaware",365.36,463,233.2,400,NA,39,2014-10-19
"District of Columbia",350.56,608,288.03,522,NA,48,2014-10-19
"Florida",301.84,8800,217.9,7509,NA,653,2014-10-19
"Georgia",326.44,4141,217.27,3159,NA,287,2014-10-19
"Hawaii",310.81,425,268.39,478,NA,29,2014-10-19
"Idaho",275.52,409,247.71,616,NA,35,2014-10-19
"Illinois",355.91,5268,282.94,5070,NA,422,2014-10-19
"Indiana",332.4,2230,213.75,2058,NA,313,2014-10-19
"Iowa",365.45,911,289.2,935,NA,114,2014-10-19
"Kansas",350.73,1091,262.53,912,NA,130,2014-10-19
"Kentucky",338.86,1380,174.42,1375,NA,172,2014-10-19
"Louisiana",365.11,1424,243.48,1244,NA,299,2014-10-19
"Maine",314.89,573,244.17,605,NA,59,2014-10-19
"Montana",266.04,705,248.38,346,NA,30,2014-10-19
"Nebraska",340.43,661,248.11,667,NA,74,2014-10-19
"Nevada",267.27,1157,229.57,1305,NA,76,2014-10-19
"New Hampshire",356.55,553,290.4,611,NA,49,2014-10-19
"New Jersey",348.43,2872,287.84,3845,NA,241,2014-10-19
"New Mexico",288.14,736,203.21,601,NA,59,2014-10-19
"New York",346.18,7363,264.83,8009,NA,584,2014-10-19
"North Carolina",347.84,3787,245.49,2758,NA,292,2014-10-19
"North Dakota",393.2,197,343.35,293,NA,22,2014-10-19
"Ohio",334.29,3967,218.03,3946,NA,516,2014-10-19
"Oklahoma",364.16,1006,234.37,978,NA,181,2014-10-19
"Oregon",207.82,2055,181.95,1823,NA,85,2014-10-19
"Maryland",369.3,2649,252.65,2243,NA,187,2014-10-19
"Massachusetts",349.16,3771,288.4,3454,NA,274,2014-10-19
"Michigan",290.64,3797,272.79,3424,NA,281,2014-10-19
"Minnesota",354.13,2203,275.85,2245,NA,118,2014-10-19
"Mississippi",337.09,565,146.94,500,NA,134,2014-10-19
"Missouri",357.71,2073,245.46,1939,NA,280,2014-10-19
"Pennsylvania",364.56,5153,268.61,4520,NA,480,2014-10-19
"Rhode Island",319.73,672,258.05,497,NA,44,2014-10-19
"South Carolina",340.49,1560,203.28,1276,NA,156,2014-10-19
"South Dakota",376.71,206,348.54,233,NA,25,2014-10-19
"Tennessee",351.41,2078,226.46,1720,NA,203,2014-10-19
"Texas",336.83,7700,232.67,7846,NA,1091,2014-10-19
"Utah",287.73,893,238.07,971,NA,58,2014-10-19
"Vermont",374.09,336,312.76,337,NA,29,2014-10-19
"Virginia",366.84,3250,292.19,2807,NA,264,2014-10-19
"Washington",233.19,3116,189.51,3274,NA,145,2014-10-19
"West Virginia",354.6,511,217.07,498,NA,58,2014-10-19
"Wisconsin",352.19,2091,272.82,1999,NA,155,2014-10-19
"Wyoming",328.51,119,355.57,175,NA,12,2014-10-19
"Alabama",339.3,1476,205.53,1381,NA,178,2014-11-19
"Alaska",290.79,342,268.77,451,NA,37,2014-11-19
"Arizona",300.18,2536,210.52,2295,NA,298,2014-11-19
"Arkansas",344.1,820,206.34,786,NA,141,2014-11-19
"California",244.7,15944,190.35,18224,NA,1048,2014-11-19
"Colorado",237.04,3022,195.8,2692,NA,174,2014-11-19
"Connecticut",339.62,1763,268.91,1949,NA,118,2014-11-19
"Delaware",363.94,475,236.03,412,NA,40,2014-11-19
"District of Columbia",349.75,632,281.43,551,NA,48,2014-11-19
"Florida",300.99,9048,217.85,7779,NA,668,2014-11-19
"Georgia",325.35,4252,217.41,3274,NA,294,2014-11-19
"Hawaii",311.93,432,266.37,490,NA,29,2014-11-19
"Idaho",275.42,428,246.19,640,NA,35,2014-11-19
"Illinois",355.36,5403,283.06,5248,NA,434,2014-11-19
"Indiana",332.27,2293,213.84,2138,NA,318,2014-11-19
"Iowa",365.07,938,289.43,982,NA,115,2014-11-19
"Kansas",350.55,1122,261.38,945,NA,134,2014-11-19
"Kentucky",339.02,1424,182.33,1426,NA,174,2014-11-19
"Louisiana",364.01,1460,241.69,1293,NA,306,2014-11-19
"Maine",315.25,593,244.29,629,NA,59,2014-11-19
"Montana",265.96,718,241.58,356,NA,31,2014-11-19
"Nebraska",338.21,676,246.28,691,NA,75,2014-11-19
"Nevada",267.27,1188,227.85,1359,NA,78,2014-11-19
"New Hampshire",355.81,570,296.23,630,NA,51,2014-11-19
"New Jersey",346.39,2960,287.39,3998,NA,248,2014-11-19
"New Mexico",288.15,760,203.5,626,NA,62,2014-11-19
"New York",345.38,7569,264.5,8301,NA,605,2014-11-19
"North Carolina",346.91,3916,244.94,2866,NA,303,2014-11-19
"North Dakota",398.37,203,342.25,306,NA,23,2014-11-19
"Ohio",333.02,4078,218.04,4071,NA,531,2014-11-19
"Oklahoma",358.43,1043,235.18,1017,NA,187,2014-11-19
"Oregon",207.12,2110,181.53,1922,NA,90,2014-11-19
"Maryland",367.62,2741,256.05,2333,NA,189,2014-11-19
"Massachusetts",347.88,3879,287.53,3589,NA,279,2014-11-19
"Michigan",290.14,3877,270.77,3568,NA,287,2014-11-19
"Minnesota",352.84,2288,274.56,2336,NA,122,2014-11-19
"Mississippi",336.95,583,148.51,520,NA,138,2014-11-19
"Missouri",352.42,2135,245.46,2013,NA,288,2014-11-19
"Pennsylvania",364.14,5326,268.85,4710,NA,489,2014-11-19
"Rhode Island",317.8,696,260.89,524,NA,46,2014-11-19
"South Carolina",339.1,1611,204.96,1342,NA,161,2014-11-19
"South Dakota",377.64,214,349.19,239,NA,25,2014-11-19
"Tennessee",350.48,2142,225.71,1808,NA,207,2014-11-19
"Texas",336.11,7927,232.93,8124,NA,1112,2014-11-19
"Utah",291.47,921,237.6,1001,NA,59,2014-11-19
"Vermont",372.5,346,310.91,351,NA,31,2014-11-19
"Virginia",366.13,3359,292.28,2934,NA,273,2014-11-19
"Washington",233.8,3221,190.73,3391,NA,151,2014-11-19
"West Virginia",357.49,531,220.48,519,NA,59,2014-11-19
"Wisconsin",351.39,2159,274.35,2085,NA,160,2014-11-19
"Wyoming",327.12,123,353.44,181,NA,12,2014-11-19
"Alabama",339.19,1520,207.11,1434,NA,181,2014-12-19
"Alaska",303.02,350,270.83,465,NA,37,2014-12-19
"Arizona",299.02,2611,209.52,2389,NA,305,2014-12-19
"Arkansas",342.49,835,207.54,820,NA,145,2014-12-19
"California",244.07,16367,189.72,18897,NA,1079,2014-12-19
"Colorado",243.72,3106,195.14,2824,NA,177,2014-12-19
"Connecticut",337.61,1817,267.73,2044,NA,124,2014-12-19
"Delaware",363.81,485,235.27,424,NA,41,2014-12-19
"District of Columbia",349.2,650,282.57,571,NA,49,2014-12-19
"Florida",301.34,9269,217.25,8061,NA,690,2014-12-19
"Georgia",324.27,4384,217.46,3416,NA,303,2014-12-19
"Hawaii",308.13,450,264.84,511,NA,30,2014-12-19
"Idaho",274.55,441,244.96,668,NA,35,2014-12-19
"Illinois",354.17,5563,282.68,5449,NA,445,2014-12-19
"Indiana",332.52,2365,214.81,2214,NA,326,2014-12-19
"Iowa",364.83,964,289.34,1023,NA,120,2014-12-19
"Kansas",350.21,1142,261.1,982,NA,138,2014-12-19
"Kentucky",339,1472,174.26,1486,NA,178,2014-12-19
"Louisiana",361.75,1500,240.58,1335,NA,315,2014-12-19
"Maine",311.9,612,234.58,651,NA,61,2014-12-19
"Montana",265.81,732,241.42,364,NA,32,2014-12-19
"Nebraska",336.14,693,245.82,712,NA,76,2014-12-19
"Nevada",266.56,1222,227.1,1412,NA,78,2014-12-19
"New Hampshire",354.56,592,294.07,645,NA,51,2014-12-19
"New Jersey",345.65,3032,286.8,4135,NA,255,2014-12-19
"New Mexico",288.1,791,218.11,655,NA,67,2014-12-19
"New York",344.45,7763,263.76,8606,NA,614,2014-12-19
"North Carolina",345.78,4050,246.27,2983,NA,311,2014-12-19
"North Dakota",396.93,207,340.05,323,NA,23,2014-12-19
"Ohio",332.79,4196,219.12,4212,NA,543,2014-12-19
"Oklahoma",354.99,1093,237.6,1054,NA,194,2014-12-19
"Oregon",206.37,2158,181.12,1994,NA,91,2014-12-19
"Maryland",366.51,2831,255.41,2427,NA,193,2014-12-19
"Massachusetts",346.72,3957,286.31,3732,NA,284,2014-12-19
"Michigan",288.7,3966,271.09,3687,NA,292,2014-12-19
"Minnesota",351.98,2331,273.47,2432,NA,126,2014-12-19
"Mississippi",334.69,599,150.13,539,NA,141,2014-12-19
"Missouri",351.69,2191,245.86,2084,NA,294,2014-12-19
"Pennsylvania",363.25,5472,269.74,4906,NA,501,2014-12-19
"Rhode Island",316.88,717,260.04,552,NA,47,2014-12-19
"South Carolina",337.8,1667,206.04,1393,NA,161,2014-12-19
"South Dakota",354.96,221,348.18,253,NA,25,2014-12-19
"Tennessee",348.78,2213,225.37,1882,NA,215,2014-12-19
"Texas",334.62,8146,233.34,8437,NA,1140,2014-12-19
"Utah",290.85,952,238.28,1043,NA,61,2014-12-19
"Vermont",371.85,354,308.94,360,NA,32,2014-12-19
"Virginia",365.3,3460,292.3,3042,NA,282,2014-12-19
"Washington",233.03,3311,188.67,3520,NA,160,2014-12-19
"West Virginia",359.08,546,222.38,535,NA,60,2014-12-19
"Wisconsin",350.77,2218,274.4,2171,NA,166,2014-12-19
"Wyoming",322.86,129,345.11,193,NA,12,2014-12-19
"Alabama",340.06,1071,199.31,967,152.02,129,2014-01-20
"Alaska",291,260,263.79,305,388.58,26,2014-01-20
"Arizona",303.54,1985,210.25,1665,197.17,226,2014-01-20
"Arkansas",360.59,589,182.62,561,128.03,116,2014-01-20
"California",248.39,12394,193.19,13164,192.89,790,2014-01-20
"Colorado",237.13,2255,197.29,1842,213.55,134,2014-01-20
"Connecticut",347.25,1329,273.84,1362,257.36,91,2014-01-20
"Delaware",372.79,360,225.91,282,199.88,34,2014-01-20
"District of Columbia",352.16,451,293.17,356,211.38,40,2014-01-20
"Florida",306.34,6688,219.78,5397,157.37,523,2014-01-20
"Georgia",331.93,3182,213.97,2331,154.7,233,2014-01-20
"Hawaii",308.22,335,272.67,361,162.11,26,2014-01-20
"Idaho",276.69,322,255.79,456,133.75,22,2014-01-20
"Illinois",359.41,4105,287.4,3746,181.51,346,2014-01-20
"Indiana",336.78,1713,206.56,1496,161.44,255,2014-01-20
"Iowa",372.32,708,292.37,669,252.24,103,2014-01-20
"Kansas",355.3,854,261.05,649,124.27,109,2014-01-20
"Kentucky",338.38,1038,181.34,1012,125.11,136,2014-01-20
"Louisiana",375.32,1107,243.85,893,151.58,232,2014-01-20
"Maine",319.95,464,257.84,444,214.8,52,2014-01-20
"Montana",279.12,593,251.58,267,734.65,22,2014-01-20
"Nebraska",352.32,519,248.63,523,142.51,63,2014-01-20
"Nevada",270.62,928,219.16,954,231.08,61,2014-01-20
"New Hampshire",377.98,442,289.58,460,561.24,39,2014-01-20
"New Jersey",355.24,2292,293.49,2879,231.68,192,2014-01-20
"New Mexico",294.63,581,205.6,448,63.7,42,2014-01-20
"New York",352.36,5957,268.17,5997,190.04,491,2014-01-20
"North Carolina",355.71,2879,247.16,1972,151.95,232,2014-01-20
"North Dakota",410.88,141,360.64,206,269.55,13,2014-01-20
"Ohio",336.66,3139,213.55,2901,167.95,409,2014-01-20
"Oklahoma",364.32,775,229.31,697,120.54,134,2014-01-20
"Oregon",212.77,1651,188.86,1365,175.34,63,2014-01-20
"Maryland",379.74,2023,248.25,1604,196.11,153,2014-01-20
"Massachusetts",353.83,2951,297.24,2539,217.65,223,2014-01-20
"Michigan",298.45,3124,276.59,2599,228.6,232,2014-01-20
"Minnesota",370.4,1762,278.32,1591,182.59,102,2014-01-20
"Mississippi",340.48,419,150.98,359,137.48,99,2014-01-20
"Missouri",368.26,1596,241.97,1327,151.52,210,2014-01-20
"Pennsylvania",372.12,3944,266.46,3314,193.52,378,2014-01-20
"Rhode Island",334.34,538,261.62,366,201.75,34,2014-01-20
"South Carolina",347.04,1187,201.75,930,171.2,125,2014-01-20
"South Dakota",386.84,167,367.48,170,125.68,20,2014-01-20
"Tennessee",358.3,1595,224.55,1266,199.5,153,2014-01-20
"Texas",342.23,6143,235.98,5835,142.03,870,2014-01-20
"Utah",292.37,705,232.84,699,168.59,44,2014-01-20
"Vermont",378.89,283,323,232,187.64,25,2014-01-20
"Virginia",373.86,2545,287.17,2024,227.49,211,2014-01-20
"Washington",235.71,2397,191.93,2424,142.94,110,2014-01-20
"West Virginia",362.99,370,197.95,383,158.3,41,2014-01-20
"Wisconsin",358.08,1671,269.43,1415,231.68,130,2014-01-20
"Wyoming",354.03,94,378.64,137,161.3,11,2014-01-20
"Alabama",336.43,1569,209.31,1499,NA,188,2015-01-20
"Alaska",303.03,355,270.76,486,NA,37,2015-01-20
"Arizona",297.44,2691,208.83,2490,NA,310,2015-01-20
"Arkansas",342.03,864,208.37,860,NA,146,2015-01-20
"California",243.48,16746,189.13,19528,NA,1114,2015-01-20
"Colorado",243.1,3199,195.73,2949,NA,188,2015-01-20
"Connecticut",336.41,1855,267.08,2121,NA,129,2015-01-20
"Delaware",364.04,500,233.75,443,NA,43,2015-01-20
"District of Columbia",347.83,668,281.66,598,NA,49,2015-01-20
"Florida",300.41,9549,216.58,8383,NA,704,2015-01-20
"Georgia",323.36,4526,216.99,3561,NA,311,2015-01-20
"Hawaii",306.48,462,261.18,536,NA,30,2015-01-20
"Idaho",274.69,462,243.94,685,NA,36,2015-01-20
"Illinois",352.93,5730,282.62,5642,NA,456,2015-01-20
"Indiana",331.85,2430,215.38,2307,NA,332,2015-01-20
"Iowa",364.87,983,290.16,1072,NA,123,2015-01-20
"Kansas",349.31,1183,259.92,1026,NA,141,2015-01-20
"Kentucky",339.03,1521,174.07,1543,NA,182,2015-01-20
"Louisiana",361.61,1554,241.18,1388,NA,324,2015-01-20
"Maine",312.37,626,234.93,671,NA,62,2015-01-20
"Montana",265.58,743,246.61,377,NA,32,2015-01-20
"Nebraska",334.96,701,244.58,739,NA,76,2015-01-20
"Nevada",265.83,1261,226.54,1466,NA,78,2015-01-20
"New Hampshire",353.62,608,288.48,668,NA,51,2015-01-20
"New Jersey",345.05,3111,285.92,4310,NA,261,2015-01-20
"New Mexico",287.86,815,219.28,676,NA,69,2015-01-20
"New York",343.48,7966,263.19,8904,NA,624,2015-01-20
"North Carolina",344.59,4192,246.04,3104,NA,322,2015-01-20
"North Dakota",392.54,215,322.47,335,NA,24,2015-01-20
"Ohio",332.54,4329,219.17,4378,NA,554,2015-01-20
"Oklahoma",353.6,1143,238.26,1092,NA,198,2015-01-20
"Oregon",205.38,2216,180.83,2068,NA,99,2015-01-20
"Maryland",363.66,2928,267.12,2531,NA,194,2015-01-20
"Massachusetts",344.77,4059,284.98,3875,NA,293,2015-01-20
"Michigan",287.6,4042,269.2,3820,NA,302,2015-01-20
"Minnesota",347.71,2419,273.56,2536,NA,133,2015-01-20
"Mississippi",336.88,630,151.02,565,NA,146,2015-01-20
"Missouri",350.94,2258,244.93,2162,NA,303,2015-01-20
"Pennsylvania",362.32,5622,269.45,5086,NA,512,2015-01-20
"Rhode Island",317.17,726,258.66,579,NA,47,2015-01-20
"South Carolina",337.06,1721,205.2,1437,NA,165,2015-01-20
"South Dakota",358.24,223,348.71,258,NA,25,2015-01-20
"Tennessee",347.92,2287,226.35,1967,NA,227,2015-01-20
"Texas",333.62,8398,232.59,8796,NA,1162,2015-01-20
"Utah",289.94,972,236.68,1088,NA,62,2015-01-20
"Vermont",370.46,364,307.42,381,NA,32,2015-01-20
"Virginia",364.63,3575,291.61,3158,NA,290,2015-01-20
"Washington",232.89,3402,189.84,3639,NA,161,2015-01-20
"West Virginia",357.99,560,225.69,557,NA,60,2015-01-20
"Wisconsin",349.82,2279,271.85,2284,NA,168,2015-01-20
"Wyoming",320.39,133,351.58,199,NA,12,2015-01-20
"Alabama",340.51,1129,202.65,1018,146.33,133,2014-02-20
"Alaska",285.1,277,253.84,320,388.58,26,2014-02-20
"Arizona",303.4,2068,210,1755,195.14,238,2014-02-20
"Arkansas",358.57,618,182.87,584,127.31,124,2014-02-20
"California",248.09,12858,192.92,13749,191.19,823,2014-02-20
"Colorado",237.41,2371,197.85,1952,227.89,143,2014-02-20
"Connecticut",347.03,1374,277.05,1439,252.31,95,2014-02-20
"Delaware",372.13,371,227.49,290,206.61,36,2014-02-20
"District of Columbia",349.59,469,293.32,383,208.53,41,2014-02-20
"Florida",305.43,7042,219.67,5711,153.17,541,2014-02-20
"Georgia",331.43,3325,213.59,2433,152.99,237,2014-02-20
"Hawaii",307.82,347,273.56,376,167.62,27,2014-02-20
"Idaho",275.29,330,257.86,483,129.39,24,2014-02-20
"Illinois",355.78,4311,287.54,3907,177.54,359,2014-02-20
"Indiana",334.6,1809,208.52,1566,168.7,261,2014-02-20
"Iowa",370.88,741,293.05,705,247.69,107,2014-02-20
"Kansas",354.2,881,261.82,692,113.7,111,2014-02-20
"Kentucky",338.5,1085,181.4,1056,124.52,142,2014-02-20
"Louisiana",373.41,1159,243.78,944,148.11,246,2014-02-20
"Maine",320.29,475,259.8,465,214.8,52,2014-02-20
"Montana",269.98,611,251.26,283,734.65,22,2014-02-20
"Nebraska",347.42,543,248.39,544,141.76,64,2014-02-20
"Nevada",269.47,952,218.82,1003,252.49,63,2014-02-20
"New Hampshire",376,459,289.71,479,677.38,41,2014-02-20
"New Jersey",353.66,2369,291.91,3007,233.99,203,2014-02-20
"New Mexico",291.94,603,204.95,464,63.7,42,2014-02-20
"New York",351.29,6159,267.99,6272,189.78,505,2014-02-20
"North Carolina",354.88,2992,248.34,2058,152.4,242,2014-02-20
"North Dakota",406.34,150,351.08,224,363.11,16,2014-02-20
"Ohio",336.43,3266,213.67,3053,166.06,424,2014-02-20
"Oklahoma",365.71,811,227.76,738,118.86,140,2014-02-20
"Oregon",211.87,1716,188.85,1431,169.34,68,2014-02-20
